lua_chon_ban_dau,cua_tiet_lo,lua_chon_doi,ket_qua_giu,ket_qua_doi
2,0,1,True,False
2,0,1,False,True
0,1,2,False,True
1,0,2,False,True
0,1,2,False,True
1,0,2,False,True
1,2,0,True,False
1,2,0,False,True
1,0,2,True,False
0,1,2,False,True
0,1,2,False,True
0,1,2,False,True
1,2,0,False,True
1,2,0,True,False
1,0,2,False,True
2,1,0,True,False
0,2,1,False,True
2,1,0,False,True
2,0,1,False,True
1,2,0,False,True
1,0,2,False,True
2,1,0,True,False
1,2,0,False,True
2,0,1,True,False
2,1,0,False,True
2,0,1,False,True
1,0,2,False,True
0,1,2,False,True
1,2,0,False,True
1,0,2,False,True
1,2,0,False,True
1,0,2,True,False
0,1,2,True,False
0,1,2,True,False
0,1,2,False,True
0,1,2,False,True
1,2,0,False,True
2,1,0,False,True
1,0,2,True,False
0,1,2,True,False
2,1,0,False,True
2,1,0,False,True
0,2,1,False,True
2,0,1,False,True
2,1,0,False,True
1,0,2,False,True
1,2,0,False,True
1,2,0,True,False
1,2,0,False,True
1,0,2,False,True
1,0,2,True,False
0,1,2,False,True
0,1,2,False,True
0,2,1,False,True
1,0,2,False,True
1,0,2,False,True
0,2,1,True,False
0,1,2,False,True
2,1,0,True,False
1,2,0,False,True
0,2,1,True,False
0,1,2,False,True
2,1,0,False,True
1,2,0,False,True
1,2,0,True,False
0,1,2,False,True
2,1,0,False,True
0,2,1,False,True
0,1,2,False,True
2,0,1,False,True
1,2,0,False,True
0,1,2,False,True
1,0,2,True,False
2,0,1,True,False
1,2,0,False,True
0,1,2,False,True
2,0,1,False,True
0,2,1,False,True
2,1,0,False,True
2,1,0,False,True
2,1,0,True,False
2,1,0,False,True
0,1,2,True,False
0,2,1,False,True
2,1,0,False,True
0,2,1,True,False
1,0,2,False,True
2,1,0,False,True
2,1,0,True,False
2,0,1,False,True
0,2,1,False,True
0,2,1,False,True
1,2,0,True,False
2,0,1,False,True
0,1,2,True,False
0,1,2,True,False
1,0,2,True,False
1,2,0,True,False
2,1,0,False,True
0,2,1,True,False
2,0,1,False,True
0,2,1,True,False
2,0,1,False,True
0,2,1,False,True
0,2,1,False,True
2,0,1,True,False
1,2,0,False,True
2,1,0,False,True
0,1,2,False,True
1,2,0,False,True
2,1,0,False,True
1,0,2,False,True
2,0,1,False,True
2,0,1,False,True
1,0,2,False,True
0,2,1,True,False
2,1,0,False,True
2,0,1,False,True
0,1,2,True,False
0,1,2,True,False
0,2,1,False,True
2,1,0,False,True
0,1,2,False,True
1,0,2,False,True
2,0,1,False,True
1,0,2,False,True
2,0,1,False,True
0,1,2,True,False
0,2,1,False,True
2,0,1,True,False
2,1,0,True,False
1,0,2,True,False
0,1,2,True,False
2,1,0,False,True
2,1,0,True,False
1,0,2,False,True
1,2,0,False,True
1,0,2,False,True
1,2,0,True,False
0,1,2,False,True
2,1,0,False,True
1,2,0,True,False
1,2,0,True,False
2,1,0,False,True
0,1,2,False,True
2,1,0,True,False
2,1,0,True,False
1,2,0,False,True
0,2,1,True,False
2,0,1,False,True
2,0,1,False,True
0,2,1,False,True
1,0,2,False,True
2,1,0,False,True
1,0,2,False,True
2,1,0,True,False
0,2,1,False,True
1,2,0,False,True
2,0,1,False,True
1,0,2,False,True
2,0,1,False,True
2,0,1,False,True
1,0,2,False,True
2,0,1,True,False
1,0,2,False,True
0,1,2,False,True
2,0,1,True,False
2,0,1,False,True
2,1,0,True,False
2,0,1,False,True
2,1,0,False,True
0,2,1,False,True
2,1,0,True,False
1,0,2,True,False
2,0,1,True,False
0,2,1,False,True
2,1,0,False,True
1,0,2,False,True
1,2,0,False,True
1,0,2,False,True
1,2,0,False,True
2,0,1,True,False
2,0,1,False,True
1,0,2,False,True
1,2,0,True,False
2,1,0,False,True
0,1,2,False,True
0,2,1,True,False
0,2,1,False,True
2,0,1,False,True
2,1,0,True,False
2,1,0,False,True
0,1,2,True,False
2,1,0,False,True
0,1,2,False,True
0,1,2,False,True
2,0,1,False,True
2,1,0,True,False
2,1,0,True,False
2,0,1,False,True

xac_suat_giu,xac_suat_doi
0.305,0.695
